,Episode Batch,Learning Rate,Mean Absolute Error,Mean Squared Error,Batch Gym Reward,Batch User Reward,Avg. Episode Length (t),BAC Gradient,Policy Evolution
15,16.0,0.025,0.0001124568749999999,2.0234477975624965e-07,-2300.0,-18.0,3.8,"[[ 5.25905714e+00]
 [ 1.55270093e+01]
 [ 2.53322595e+01]
 ...
 [-1.85179580e-02]
 [-8.07954945e-04]
 [-1.93139570e-05]]","[[3.15454960e+00]
 [7.95286276e+00]
 [1.01644531e+01]
 ...
 [1.59700631e-03]
 [5.20934054e-05]
 [1.00814841e-06]]"
16,17.0,0.025,0.00012162117647058637,2.514590796235217e-07,-400.0,-10.0,2.6,"[[3.62120556e-06]
 [2.61184486e-04]
 [1.04251888e-02]
 ...
 [3.45522964e-07]
 [2.68113798e-09]
 [1.15319527e-11]]","[[3.15454969e+00]
 [7.95286929e+00]
 [1.01647137e+01]
 ...
 [1.59701495e-03]
 [5.20934724e-05]
 [1.00814870e-06]]"
17,18.0,0.025,0.00023011888888888364,9.531846544221786e-07,-800.0,-10.0,2.6,"[[3.46718641e-12]
 [9.14485264e-10]
 [1.34135305e-07]
 ...
 [8.07562303e-03]
 [1.93508009e-04]
 [2.56638829e-06]]","[[3.15454969e+00]
 [7.95286929e+00]
 [1.01647137e+01]
 ...
 [1.79890553e-03]
 [5.69311727e-05]
 [1.07230840e-06]]"
18,19.0,0.025,0.0009249789473684208,1.6256135008421043e-05,-2400.0,-20.0,4.0,"[[ 4.98862276e-08]
 [ 5.20825127e-06]
 [ 3.02913145e-04]
 ...
 [-6.50379671e-07]
 [-5.17426520e-09]
 [-2.25503619e-11]]","[[3.15454969e+00]
 [7.95286942e+00]
 [1.01647213e+01]
 ...
 [1.79888927e-03]
 [5.69310433e-05]
 [1.07230784e-06]]"
19,20.0,0.025,0.0002979375000000006,1.7753350781250076e-06,-1350.0,-13.0,3.0,"[[ 1.28571533e-04]
 [ 4.33882314e-03]
 [ 8.10234077e-02]
 ...
 [-1.40400308e-02]
 [-6.97251202e-04]
 [-1.92300844e-05]]","[[3.15455291e+00]
 [7.95297789e+00]
 [1.01667469e+01]
 ...
 [1.44788850e-03]
 [3.94997633e-05]
 [5.91555732e-07]]"
20,21.0,0.025,1.2716190476190295e-05,3.3957315047618073e-09,-1950.0,-13.0,2.8,"[[ 5.90710833e+00]
 [ 1.62939358e+01]
 [ 2.48710771e+01]
 ...
 [-1.68729439e-09]
 [-7.64330986e-12]
 [-1.91599150e-14]]","[[3.30223061e+00]
 [8.36032628e+00]
 [1.07885238e+01]
 ...
 [1.44788846e-03]
 [3.94997631e-05]
 [5.91555732e-07]]"
21,22.0,0.025,0.0013527495454545466,4.025848932000462e-05,-2350.0,-15.0,3.6,"[[5.01030609e-05]
 [1.76970622e-03]
 [3.45899368e-02]
 ...
 [2.36690500e-03]
 [4.62600550e-05]
 [5.00325883e-07]]","[[3.30223187e+00]
 [8.36037052e+00]
 [1.07893886e+01]
 ...
 [1.50706108e-03]
 [4.06562644e-05]
 [6.04063879e-07]]"
22,23.0,0.025,0.00020838695652173865,9.98777843913039e-07,-1750.0,-13.0,3.2,"[[2.47133547e-04]
 [9.94272650e-03]
 [2.21359297e-01]
 ...
 [9.66014456e-08]
 [6.39686263e-10]
 [2.34414726e-12]]","[[3.30223805e+00]
 [8.36061909e+00]
 [1.07949226e+01]
 ...
 [1.50706350e-03]
 [4.06562804e-05]
 [6.04063937e-07]]"
23,24.0,0.025,0.00045007208333333143,4.861557124704125e-06,-2900.0,-20.0,4.0,"[[1.40004603e-03]
 [2.85567347e-02]
 [3.22320619e-01]
 ...
 [2.34350163e-04]
 [3.20134815e-06]
 [2.42003730e-08]]","[[3.30227305e+00]
 [8.36133301e+00]
 [1.08029806e+01]
 ...
 [1.51292225e-03]
 [4.07363141e-05]
 [6.04668947e-07]]"
24,25.0,0.025,0.00010386079999999965,2.696766444159981e-07,-2150.0,-15.0,3.2,"[[ 4.32280759e+00]
 [ 1.36361365e+01]
 [ 2.38031560e+01]
 ...
 [-6.14221710e-03]
 [-2.63470787e-04]
 [-6.25404900e-06]]","[[3.41034324e+00]
 [8.70223642e+00]
 [1.13980595e+01]
 ...
 [1.35936682e-03]
 [3.41495445e-05]
 [4.48317722e-07]]"
25,26.0,0.025,0.0007396246153846136,1.4223158863753779e-05,-2000.0,-16.0,3.4,"[[ 1.15577782e-01]
 [ 1.51855457e+00]
 [ 1.12508154e+01]
 ...
 [-6.28106902e-05]
 [-8.22705642e-07]
 [-5.96312077e-09]]","[[3.41323268e+00]
 [8.74020029e+00]
 [1.16793299e+01]
 ...
 [1.35779655e-03]
 [3.41289768e-05]
 [4.48168644e-07]]"
26,27.0,0.025,0.0010209988888888878,2.814584574003327e-05,-900.0,-10.0,2.4,"[[ 1.29115111e-01]
 [ 1.16854051e+00]
 [ 5.85228550e+00]
 ...
 [-1.47727528e-06]
 [-1.57453257e-08]
 [-9.28674185e-11]]","[[3.41646056e+00]
 [8.76941380e+00]
 [1.18256370e+01]
 ...
 [1.35775962e-03]
 [3.41285832e-05]
 [4.48166322e-07]]"
27,28.0,0.025,8.397392857142519e-05,1.9744537903212696e-07,-4650.0,-21.0,4.6,"[[9.73816320e-12]
 [2.30022577e-09]
 [3.00727778e-07]
 ...
 [4.01168223e-02]
 [1.28482542e-03]
 [2.27717029e-05]]","[[3.41646056e+00]
 [8.76941380e+00]
 [1.18256370e+01]
 ...
 [2.36068018e-03]
 [6.62492187e-05]
 [1.01745890e-06]]"
28,29.0,0.025,0.000828154482758621,1.988935557208277e-05,-3700.0,-22.0,4.6,"[[ 6.90149698e-01]
 [ 4.01769852e+00]
 [ 1.68827635e+01]
 ...
 [-1.32947335e-01]
 [-4.65986791e-03]
 [-9.12830089e-05]]","[[ 3.43371430e+00]
 [ 8.86985626e+00]
 [ 1.22477061e+01]
 ...
 [-9.63003184e-04]
 [-5.02474790e-05]
 [-1.26461633e-06]]"
29,30.0,0.025,0.0006747446666666675,1.3658410955853367e-05,-1200.0,-14.0,3.2,"[[4.23305072e+00]
 [1.40135192e+01]
 [2.84224946e+01]
 ...
 [1.93507451e-04]
 [4.37689924e-06]
 [5.47844003e-08]]","[[ 3.53954057e+00]
 [ 9.22019424e+00]
 [ 1.29582685e+01]
 ...
 [-9.58165498e-04]
 [-5.01380565e-05]
 [-1.26324672e-06]]"
30,31.0,0.025,0.00012302387096774225,4.6918105766451857e-07,-600.0,-10.0,2.4,"[[3.10029174e-10]
 [5.15750613e-08]
 [4.81262993e-06]
 ...
 [2.73880677e-04]
 [3.82307961e-06]
 [2.95356971e-08]]","[[ 3.53954057e+00]
 [ 9.22019425e+00]
 [ 1.29582686e+01]
 ...
 [-9.51318481e-04]
 [-5.00424795e-05]
 [-1.26250832e-06]]"
31,32.0,0.025,0.0005247978124999983,8.813207808153067e-06,-2200.0,-20.0,4.2,"[[-1.40299741e-02]
 [-1.55622817e-01]
 [-9.55221345e-01]
 ...
 [-7.98873270e-04]
 [-1.63139063e-05]
 [-1.84017955e-07]]","[[ 3.53918982e+00]
 [ 9.21630367e+00]
 [ 1.29343880e+01]
 ...
 [-9.71290312e-04]
 [-5.04503272e-05]
 [-1.26710877e-06]]"
32,33.0,0.025,0.00020307636363636414,1.3609203124363702e-06,-4000.0,-20.0,4.0,"[[ 2.28560426e+00]
 [ 9.52410197e+00]
 [ 2.24448042e+01]
 ...
 [-3.16521321e-05]
 [-4.03613290e-07]
 [-2.84806209e-09]]","[[ 3.59632993e+00]
 [ 9.45440622e+00]
 [ 1.34955081e+01]
 ...
 [-9.72081616e-04]
 [-5.04604175e-05]
 [-1.26717997e-06]]"
33,34.0,0.025,0.00022520794117647188,1.7244329701441372e-06,-2850.0,-15.0,3.2,"[[1.31103948e-06]
 [1.07609596e-04]
 [4.88761267e-03]
 ...
 [2.19716949e-05]
 [3.03897264e-07]
 [2.32631222e-09]]","[[ 3.59632996e+00]
 [ 9.45440891e+00]
 [ 1.34956303e+01]
 ...
 [-9.71532323e-04]
 [-5.04528201e-05]
 [-1.26712182e-06]]"
34,35.0,0.025,0.00023274828571428723,1.896011757602882e-06,-4650.0,-25.0,5.0,"[[6.47594374e+00]
 [1.94602395e+01]
 [3.45971938e+01]
 ...
 [6.83631937e-09]
 [3.66678162e-11]
 [1.08835169e-13]]","[[ 3.75822855e+00]
 [ 9.94091490e+00]
 [ 1.43605602e+01]
 ...
 [-9.71532152e-04]
 [-5.04528192e-05]
 [-1.26712181e-06]]"
35,36.0,0.025,0.00020804138888888855,1.5581239016694393e-06,-3650.0,-21.0,4.2,"[[-1.39313879e+01]
 [-6.13143594e+01]
 [-1.46691842e+02]
 ...
 [ 1.61551319e+00]
 [ 9.70554191e-02]
 [ 3.22426967e-03]]","[[3.40994386e+00]
 [8.40805592e+00]
 [1.06932641e+01]
 ...
 [3.94162975e-02]
 [2.37593266e-03]
 [7.93396198e-05]]"
36,37.0,0.025,0.0004325643243243243,6.9231401030918905e-06,-1750.0,-17.0,3.6,"[[2.22631075e-01]
 [2.00126083e+00]
 [9.83420668e+00]
 ...
 [3.37095146e-06]
 [3.53191907e-08]
 [2.02651986e-10]]","[[3.41550963e+00]
 [8.45808744e+00]
 [1.09391193e+01]
 ...
 [3.94163817e-02]
 [2.37593354e-03]
 [7.93396249e-05]]"
37,38.0,0.025,0.00038644368421052687,5.674871400515807e-06,-2300.0,-20.0,4.0,"[[ 7.61419391e+00]
 [ 1.94237742e+01]
 [ 2.74331863e+01]
 ...
 [-3.10436948e-05]
 [-3.94750622e-07]
 [-2.77775354e-09]]","[[3.60586448e+00]
 [8.94368179e+00]
 [1.16249490e+01]
 ...
 [3.94156057e-02]
 [2.37592367e-03]
 [7.93395555e-05]]"
38,39.0,0.025,0.0008066807692307701,2.537862067442313e-05,-5950.0,-31.0,6.4,"[[2.95289258e-15]
 [1.89384714e-12]
 [6.72129752e-10]
 ...
 [7.15210194e-02]
 [3.53850110e-03]
 [1.03070828e-04]]","[[3.60586448e+00]
 [8.94368179e+00]
 [1.16249490e+01]
 ...
 [4.12036311e-02]
 [2.46438620e-03]
 [8.19163262e-05]]"
39,40.0,0.025,0.0006363604999999994,1.619818743840997e-05,-1800.0,-16.0,3.2,"[[ 1.66240423e-01]
 [ 1.41614677e+00]
 [ 6.67567362e+00]
 ...
 [-7.71453485e-05]
 [-1.48567329e-06]
 [-1.58328242e-08]]","[[3.61002049e+00]
 [8.97908546e+00]
 [1.17918408e+01]
 ...
 [4.12017025e-02]
 [2.46434906e-03]
 [8.19159303e-05]]"
40,41.0,0.025,4.724268292683045e-05,9.150671469512652e-08,-2900.0,-22.0,4.6,"[[ 1.99375884e+00]
 [ 1.14243405e+01]
 [ 3.84840276e+01]
 ...
 [-1.34629039e-02]
 [-4.11558394e-04]
 [-6.94103617e-06]]","[[3.65986446e+00]
 [9.26469398e+00]
 [1.27539415e+01]
 ...
 [4.08651299e-02]
 [2.45406010e-03]
 [8.17424044e-05]]"
41,42.0,0.025,4.325714285714435e-05,7.858957714286258e-08,-950.0,-11.0,2.8,"[[-2.33437691e+01]
 [-5.16353242e+01]
 [-6.33695237e+01]
 ...
 [-2.77105664e-03]
 [-6.92666098e-05]
 [-9.57523203e-07]]","[[3.07627023e+00]
 [7.97381087e+00]
 [1.11697034e+01]
 ...
 [4.07958535e-02]
 [2.45232843e-03]
 [8.17184664e-05]]"
42,43.0,0.025,0.0004715627906976743,9.561973019534879e-06,-900.0,-10.0,2.4,"[[1.80915534e-01]
 [1.94816293e+00]
 [1.20903883e+01]
 ...
 [3.23661048e-06]
 [4.42836697e-08]
 [3.09928784e-10]]","[[3.08079312e+00]
 [8.02251494e+00]
 [1.14719631e+01]
 ...
 [4.07959344e-02]
 [2.45232954e-03]
 [8.17184741e-05]]"
43,44.0,0.025,0.0003661202272727285,5.897936916002312e-06,-2300.0,-16.0,3.6,"[[1.48593208e-07]
 [1.17718461e-05]
 [5.16059371e-04]
 ...
 [5.79913580e-02]
 [1.98915759e-03]
 [3.77569244e-05]]","[[3.08079313e+00]
 [8.02251524e+00]
 [1.14719760e+01]
 ...
 [4.22457184e-02]
 [2.50205848e-03]
 [8.26623972e-05]]"
44,45.0,0.025,0.00039912444444444674,7.168514496888971e-06,-1750.0,-15.0,3.6,"[[1.04856756e-15]
 [6.96108913e-13]
 [2.59328995e-10]
 ...
 [4.30099114e-02]
 [1.38097204e-03]
 [2.45615010e-05]]","[[3.08079313e+00]
 [8.02251524e+00]
 [1.14719760e+01]
 ...
 [4.33209661e-02]
 [2.53658278e-03]
 [8.32764347e-05]]"
45,46.0,0.025,0.0003656106521739108,6.14887285321949e-06,-3050.0,-23.0,5.2,"[[2.61142204e-12]
 [8.98907708e-10]
 [1.71253169e-07]
 ...
 [1.04988577e-03]
 [2.14377702e-05]
 [2.53380819e-07]]","[[3.08079313e+00]
 [8.02251524e+00]
 [1.14719760e+01]
 ...
 [4.33472133e-02]
 [2.53711872e-03]
 [8.32827693e-05]]"
